turn,province_index,province,Ktarget_2018_MU,Kt_supply_private_MU,GovInv_before_MU,GovInv_after_MU,firm_K_total_MU,private_K_over_Ktarget,GovInv_before_over_Ktarget,GovInv_after_over_Ktarget,firm_K_total_over_Ktarget,firm_ra0,firm_ra_used,household_rah,firm_wage_raw,firm_wage_used,A,B,L,C,nk_gap,yt_gap,GDP_level_gap,Zt_before,Zt_after,govinv_action,adaptation_gate_open
16,3,山西,53478727.38884524,208008.5200604705,94355609.52882148,103791170.48170364,94563618.04888195,0.00388955628184708,1.7643577948809317,1.940793574369025,1.7682473511627788,0.10589691763138287,0.09,0.08640564323848753,0.801324989668682,0.801324989668682,7.317097536820548,4.668498215914151,0.6810367116306911,9.00317492138372,0.04475496915798338,3.7906063059534034e-06,0.07231982844245421,0.3816704074047826,0.35592963711130793,HIGH_RA_INCREASE_1P1,True
16,4,内蒙古,82165502.99427319,200868.1656787771,131990809.60383992,131990809.60383992,132191677.7695187,0.0024446776123646114,1.6064017719582326,1.6064017719582326,1.6088464495705974,0.06328974600932662,0.06328974600932662,0.05730418866889069,0.7562044834249209,0.8,6.85084884148692,1.6026700254834254,0.6672761709545708,9.336820471278736,0.008083615980187586,0.00022830585849198393,0.0005123762084712213,0.2817509429184086,0.2817509429184086,NONE,True
16,5,辽宁,90061052.78222083,202268.70018985268,159173546.89038363,175090901.579422,159375815.5905735,0.0022459064594654954,1.7673960271737628,1.944135629891139,1.7696419336332283,0.08944207096844374,0.08944207096844374,0.08248602996193055,1.1299822525242817,1.1299822525242817,7.332772181825769,4.66345404988139,0.6928077971947373,8.496478772498264,0.044776109799264496,4.624555884680248e-06,0.07244277224172224,0.3785243855913536,0.35295532348092173,HIGH_RA_INCREASE_1P1,True
16,6,吉林,66308917.7271201,204760.1823402485,96771251.25344332,96771251.25344332,96976011.43578357,0.003087973523906609,1.4594002521905773,1.4594002521905773,1.4624882257144838,0.05897982635453708,0.05897982635453708,0.05180218360683329,0.5316997933110036,0.8,6.1285794444834165,1.6939085479819695,0.685730521015602,8.760874602227927,0.0009545496830156708,2.5013188942324405e-05,0.00028478236574169813,0.24764481231042018,0.24764481231042018,NONE,True
16,7,黑龙江,58424879.89838116,206645.69686650235,103120418.24502419,113432460.06952661,103327063.94189069,0.0035369468833470054,1.7650086474184,1.94150951216024,1.7685455943017467,0.07146112270940405,0.07146112270940405,0.07649000179891292,0.667158285110324,0.8,7.356808986235874,4.6537805461629835,0.7118299782854157,7.71047963294646,0.0444942266398245,2.536474944592193e-05,0.07246531111880539,0.29092174766150053,0.27126448253884167,HIGH_RA_INCREASE_1P1,True
16,8,上海,66125294.30800852,203432.8996361435,116767836.70430395,128444620.37473436,116971269.6039401,0.00307647628286632,1.7658573459107016,1.9424430805017718,1.768933822193568,0.2190479014909647,0.09,0.07854539660929069,1.7198971684602549,1.3,7.320341699252264,4.674451149489163,0.6873514626087079,9.11648600780872,0.04446935515625938,2.8613195401261393e-05,0.07250940949379614,0.7223024988352026,0.6734696147571476,HIGH_RA_INCREASE_1P1,True
16,9,江苏,203535217.25929242,187974.32588735275,360225184.982758,396247703.4810338,360413159.30864537,0.0009235469341302445,1.7698420442092404,1.9468262486301646,1.7707655911433708,0.1783501192559871,0.09,0.080348417807693,4.503945370054942,1.3,7.31138823075357,4.676851717787482,0.6813555993197606,9.387645410284351,0.04453024458596033,3.156812264326625e-05,0.07264902726299693,0.8190533275357799,0.7635799844294837,HIGH_RA_INCREASE_1P1,True
16,10,浙江,124249656.20818298,199432.35799285237,219745761.31666788,241720337.4483347,219945193.67466074,0.0016050938415370676,1.7685824494232736,1.945440694365601,1.7701875432648106,0.18252897094854556,0.09,0.08329695131348781,2.77931120241309,1.3,7.314485867761884,4.6723906252317295,0.6815396817208635,9.169535380757132,0.044511375021243804,3.0132907968605238e-05,0.07260611161727248,0.7320734845655528,0.6825184721926808,HIGH_RA_INCREASE_1P1,True
16,11,安徽,70182433.35888097,209817.05429490408,123944664.86742537,136339131.3541679,124154481.92172027,0.002989595034728923,1.7660354441349855,1.942638988548484,1.7690250391697142,0.19092469103207152,0.09,0.08894896032100626,1.6003502380763603,1.3,7.313231174769113,4.6695501106346535,0.6764912136557176,9.158564279072456,0.04447363429282247,2.8323695917320535e-05,0.07251723496954687,0.6512448221237143,0.6072115215399833,HIGH_RA_INCREASE_1P1,True
16,12,福建,87795538.11850408,202362.73957410466,155159890.54541552,170675879.59995708,155362253.28498963,0.0023049319351623634,1.767286742248619,1.944015416473481,1.7695916741837814,0.17047603096853375,0.09,0.08220835441359632,1.8367011641845206,1.3,7.320663391249846,4.670046982038345,0.6858859557993764,8.953417663606517,0.04448898542924651,2.885163924726264e-05,0.07256321967696788,0.6299708857718251,0.5873508192473339,HIGH_RA_INCREASE_1P1,True
16,13,江西,51050047.92908307,210511.1402946408,90048642.7571582,99053507.03287403,90259153.89745285,0.004123622774792992,1.7639286623638553,1.940321528600241,1.7680522851386484,0.1725929714390953,0.09,0.08911215577979088,1.092082245059107,1.092082245059107,7.316427570496498,4.667391400631451,0.6784385736968945,9.015063180051415,0.044825744981083604,1.4315538427123187e-05,0.07223930648498844,0.5539260215343923,0.5166067110058397,HIGH_RA_INCREASE_1P1,True
16,14,山东,210016973.07581103,189937.8160529551,371704550.1797953,408875005.1977749,371894487.9958483,0.0009043926939390378,1.769878618551554,1.9468664804067095,1.770783011245493,0.11408511466430335,0.09,0.08258706660289303,3.152943340059223,1.3,7.310841799704564,4.675039608032161,0.679755779254079,9.33982289833136,0.044544961697605245,3.0184610593453343e-05,0.07265793893934602,0.5710579053466129,0.5323765243478086,HIGH_RA_INCREASE_1P1,True
16,15,河南,168320556.01470312,197822.94199261875,297828077.3605675,327610885.0966243,298025900.30256015,0.001175275003103831,1.7694100139174425,1.946351015309187,1.7705852889205465,0.1050045391232437,0.09,0.0851777091363818,2.3323552193745454,1.3,7.309499978323716,4.673878817092069,0.6771542278344895,9.347312161421097,0.044532035190697705,2.93460750444563e-05,0.07263098600240525,0.5023853688414254,0.46836738393486876,HIGH_RA_INCREASE_1P1,True
