stage,turn,province_index,province,HJB_converged,HJB_iterations,HJB_statistic,HJB_classification
OUTER_TRAJECTORY,7,26,陕西,True,20,2.8994739942334036e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,27,甘肃,True,14,2.2984472103360076e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,28,青海,True,25,2.5043487283937793e-09,HJB_CONVERGED
OUTER_TRAJECTORY,7,29,宁夏,True,25,5.932129498731342e-08,HJB_CONVERGED
OUTER_TRAJECTORY,7,30,新疆,True,16,2.6593030000299223e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,0,北京,True,26,8.598226930445207e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,1,天津,True,22,4.406749409824329e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,2,河北,True,13,1.2983248698361649e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,3,山西,True,13,3.19916315660862e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,4,内蒙古,True,25,1.1082645912097178e-10,HJB_CONVERGED
OUTER_TRAJECTORY,8,5,辽宁,True,15,7.675355462311018e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,6,吉林,True,25,5.0736778778315283e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,7,黑龙江,True,54,9.546314405639578e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,8,上海,True,28,6.969713695070823e-11,HJB_CONVERGED
OUTER_TRAJECTORY,8,9,江苏,True,15,1.2067425059214543e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,10,浙江,True,15,4.9796567314075446e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,11,安徽,True,13,5.726638185876709e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,12,福建,True,17,2.231364026883398e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,13,江西,True,14,1.8464119122540978e-10,HJB_CONVERGED
OUTER_TRAJECTORY,8,14,山东,True,22,6.829230825289301e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,15,河南,True,13,9.658023714109731e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,16,湖北,True,13,5.38606093059002e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,17,湖南,True,13,2.2679143452108974e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,18,广东,True,13,8.329458012212854e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,19,广西,True,13,1.8939119161842655e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,20,海南,True,13,1.2769241664045694e-08,HJB_CONVERGED
OUTER_TRAJECTORY,8,21,重庆,True,13,7.690675207783215e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,22,四川,True,14,1.3870309345520582e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,23,贵州,True,14,2.4667214937323934e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,24,云南,True,14,3.3255158626843695e-09,HJB_CONVERGED
OUTER_TRAJECTORY,8,25,西藏,True,16,2.7008599801092714e-09,HJB_CONVERGED
