outer_iteration,province_index_0based,province,global_household_call_number,field,old,new,absolute_error,scaled_eps,matches_128eps
1,28,青海,29,w,20.0,20.0,0.0,0.0,True
1,28,青海,29,Tt,0.1,0.1,0.0,0.0,True
1,28,青海,29,rb_gap,0.07,0.07,0.0,0.0,True
1,28,青海,29,Yt,2748000.0,2748000.0,0.0,0.0,True
1,28,青海,29,Lt,32930.0,32930.0,0.0,0.0,True
1,28,青海,29,Kt,13038007.4590434,13038007.4590434,0.0,0.0,True
1,28,青海,29,Zt,0.0005277056201467056,0.0005277056201467056,0.0,0.0,True
1,28,青海,29,GovInv,13038007.4590434,13038007.4590434,0.0,0.0,True
1,29,宁夏,30,rah,0.09,0.09,0.0,0.0,True
1,29,宁夏,30,rb,0.02,0.02,0.0,0.0,True
1,29,宁夏,30,tau,0.05,0.05,0.0,0.0,True
1,29,宁夏,30,w,20.0,20.0,0.0,0.0,True
1,29,宁夏,30,Tt,0.1,0.1,0.0,0.0,True
1,29,宁夏,30,rb_gap,0.07,0.07,0.0,0.0,True
1,29,宁夏,30,Yt,3510210.0,3510210.0,0.0,0.0,True
1,29,宁夏,30,Lt,34500.0,34500.0,0.0,0.0,True
1,29,宁夏,30,Kt,13881227.2259032,13881227.2259032,0.0,0.0,True
1,29,宁夏,30,Zt,0.000594643144096446,0.000594643144096446,0.0,0.0,True
1,29,宁夏,30,GovInv,13881227.2259032,13881227.2259032,0.0,0.0,True
1,30,新疆,31,rah,0.09,0.09,0.0,0.0,True
1,30,新疆,31,rb,0.02,0.02,0.0,0.0,True
1,30,新疆,31,tau,0.05,0.05,0.0,0.0,True
1,30,新疆,31,w,20.0,20.0,0.0,0.0,True
1,30,新疆,31,Tt,0.1,0.1,0.0,0.0,True
1,30,新疆,31,rb_gap,0.07,0.07,0.0,0.0,True
1,30,新疆,31,Yt,12199080.0,12199080.0,0.0,0.0,True
1,30,新疆,31,Lt,44039.04,44039.04,0.0,0.0,True
