call,old_converged,new_converged,old_iterations,new_iterations,old_statistic,new_statistic,status_match,statistic_match_128eps
238,True,True,14,14,3.73395092623241e-10,3.73395092623241e-10,True,True
239,True,True,14,14,7.861800099817629e-10,7.861800099817629e-10,True,True
240,False,False,100,100,0.04019821336613072,0.04019821336613072,True,True
241,True,True,14,14,4.663243124980454e-10,4.663243124980454e-10,True,True
242,True,True,13,13,2.2679552458271246e-08,2.2679552458271246e-08,True,True
243,True,True,23,23,4.888711657713429e-10,4.888711657713429e-10,True,True
244,True,True,14,14,9.263258160530086e-09,9.263258160530086e-09,True,True
245,True,True,29,29,2.376943086801475e-11,2.376943086801475e-11,True,True
246,True,True,26,26,7.23860407170207e-08,7.23860407170207e-08,True,True
247,True,True,16,16,3.9103653648453474e-10,3.9103653648453474e-10,True,True
248,True,True,15,15,3.0576869924914263e-09,3.0576869924914263e-09,True,True
249,True,True,15,15,5.803796176984122e-08,5.803796176984122e-08,True,True
250,True,True,25,25,7.740075247397726e-11,7.740075247397726e-11,True,True
251,True,True,68,68,1.1122600618307388e-09,1.1122600618307388e-09,True,True
252,True,True,14,14,1.0220437829389084e-09,1.0220437829389084e-09,True,True
253,True,True,14,14,1.880338906801171e-08,1.880338906801171e-08,True,True
254,True,True,16,16,5.196307828470026e-09,5.196307828470026e-09,True,True
255,True,True,15,15,6.115748796275966e-09,6.115748796275966e-09,True,True
256,True,True,14,14,1.3577765578531853e-09,1.3577765578531853e-09,True,True
257,True,True,17,17,5.252550350220986e-08,5.252550350220986e-08,True,True
258,True,True,14,14,4.145176868419753e-09,4.145176868419753e-09,True,True
259,True,True,14,14,1.338060773292682e-09,1.338060773292682e-09,True,True
260,False,False,100,100,0.019183494882111685,0.019183494882111685,True,True
261,True,True,14,14,6.640991312423239e-09,6.640991312423239e-09,True,True
262,False,False,100,100,0.001013169907331024,0.001013169907331024,True,True
263,True,True,14,14,1.50165535561797e-08,1.50165535561797e-08,True,True
264,True,True,14,14,4.5601250331372967e-08,4.5601250331372967e-08,True,True
265,True,True,50,50,2.5980542162074016e-09,2.5980542162074016e-09,True,True
266,False,False,100,100,0.012165822602508536,0.012165822602508536,True,True
267,True,True,14,14,5.619336107542949e-10,5.619336107542949e-10,True,True
268,True,True,13,13,1.567539964497655e-08,1.567539964497655e-08,True,True
269,True,True,13,13,1.5725496904650527e-08,1.5725496904650527e-08,True,True
270,True,True,14,14,3.0982993948214244e-10,3.0982993948214244e-10,True,True
271,True,True,93,93,5.184262574786658e-09,5.184262574786658e-09,True,True
272,True,True,13,13,8.488952429885899e-08,8.488952429885899e-08,True,True
273,True,True,13,13,4.9825211068110775e-08,4.9825211068110775e-08,True,True
274,True,True,22,22,9.993989324996733e-08,9.993989324996733e-08,True,True
275,True,True,14,14,2.9930147249501715e-09,2.9930147249501715e-09,True,True
276,True,True,13,13,8.739993617723485e-08,8.739993617723485e-08,True,True
277,True,True,25,25,7.961978054638053e-08,7.961978054638053e-08,True,True
278,True,True,15,15,6.895550797025862e-11,6.895550797025862e-11,True,True
279,True,True,15,15,3.078577393011983e-09,3.078577393011983e-09,True,True
280,True,True,14,14,6.323677603781164e-08,6.323677603781164e-08,True,True
281,True,True,25,25,8.641043436341533e-11,8.641043436341533e-11,True,True
282,True,True,64,64,3.476505749944181e-10,3.476505749944181e-10,True,True
283,True,True,14,14,1.042641528670174e-09,1.042641528670174e-09,True,True
284,True,True,14,14,1.8469140883325963e-08,1.8469140883325963e-08,True,True
285,False,False,100,100,0.25057710164894087,0.25057710164894087,True,True
286,True,True,15,15,6.023823662104633e-09,6.023823662104633e-09,True,True
287,True,True,14,14,1.3563603573629734e-09,1.3563603573629734e-09,True,True
288,True,True,17,17,6.036975119805277e-08,6.036975119805277e-08,True,True
289,True,True,14,14,4.473666104232166e-09,4.473666104232166e-09,True,True
290,True,True,14,14,1.4250884916577888e-09,1.4250884916577888e-09,True,True
291,False,False,100,100,2.1171912469184218,2.1171912469184218,True,True
292,True,True,14,14,6.8054362145630876e-09,6.8054362145630876e-09,True,True
293,True,True,34,34,4.9238207289192815e-08,4.9238207289192815e-08,True,True
294,True,True,14,14,1.6242350575623732e-08,1.6242350575623732e-08,True,True
295,True,True,14,14,4.8458772106130255e-08,4.8458772106130255e-08,True,True
296,False,False,100,100,0.20707413101111571,0.20707413101111571,True,True
297,False,False,100,100,0.3726776672489558,0.3726776672489558,True,True
298,True,True,14,14,5.686464632503885e-10,5.686464632503885e-10,True,True
299,True,True,13,13,1.5914091378022022e-08,1.5914091378022022e-08,True,True
300,True,True,13,13,1.564012652721658e-08,1.564012652721658e-08,True,True
301,True,True,14,14,3.239120083264879e-10,3.239120083264879e-10,True,True
302,False,False,100,100,0.07146988634933282,0.07146988634933282,True,True
303,True,True,13,13,8.587017230610172e-08,8.587017230610172e-08,True,True
304,True,True,13,13,4.81838688948244e-08,4.81838688948244e-08,True,True
305,True,True,22,22,4.057086844255764e-08,4.057086844255764e-08,True,True
306,True,True,14,14,3.176199303567273e-09,3.176199303567273e-09,True,True
307,True,True,13,13,8.882950108812793e-08,8.882950108812793e-08,True,True
308,True,True,25,25,9.43719098422946e-08,9.43719098422946e-08,True,True
309,True,True,14,14,4.452326574089227e-08,4.452326574089227e-08,True,True
310,True,True,15,15,3.078127086553195e-09,3.078127086553195e-09,True,True
311,True,True,14,14,8.535061546410816e-10,8.535061546410816e-10,True,True
312,True,True,27,27,3.560813865988166e-10,3.560813865988166e-10,True,True
313,True,True,99,99,5.50730012705003e-08,5.50730012705003e-08,True,True
314,True,True,14,14,8.823004549185498e-10,8.823004549185498e-10,True,True
315,True,True,20,20,1.2971437035602662e-08,1.2971437035602662e-08,True,True
316,True,True,19,19,7.316993722028542e-08,7.316993722028542e-08,True,True
317,True,True,15,15,1.6546430892105946e-09,1.6546430892105946e-09,True,True
318,True,True,14,14,1.366035284888767e-09,1.366035284888767e-09,True,True
319,True,True,16,16,3.328559650128682e-10,3.328559650128682e-10,True,True
320,True,True,14,14,3.4799778614313936e-09,3.4799778614313936e-09,True,True
321,True,True,14,14,1.1591949622413722e-09,1.1591949622413722e-09,True,True
322,False,False,100,100,0.15311232236151695,0.15311232236151695,True,True
323,True,True,14,14,6.268717989144079e-09,6.268717989144079e-09,True,True
